,HeadLine,Sentiment,Date,URL
0,Risk Is Not A One-Way Street,-1,2022-05-08T23:53:00-04:00,https://seekingalpha.com/article/4508881-risk-not-one-way-street
1,"Despite Friday's Swoon, We're At A Bottom; Buy These Beaten Down Big Cap Tech Stocks",-1,2022-05-08T23:40:00-04:00,https://seekingalpha.com/article/4508880-despite-friday-swoon-we-are-at-bottom-buy-beaten-down-big-cap-tech-stocks
2,Public Storage: Understanding Its Massive Rise And Sudden Decline,0,2022-05-08T09:01:20-04:00,https://seekingalpha.com/article/4508768-public-storage-understanding-massive-rise-sudden-decline
3,The Fed Unveils The Largest QT Program In History: How The Markets May React,-1,2022-05-08T07:53:56-04:00,https://seekingalpha.com/article/4508721-fed-unveils-largest-qt-program-history-how-markets-may-react
4,"Sentiment Speaks: Don't Even Think About New All-Time Highs, This Market Is Done",0,2022-05-08T07:50:00-04:00,https://seekingalpha.com/article/4508759-this-market-is-done
5,"Gladstone Commercial: 7.4% Yield, Good Things Come To Those Who Wait",0,2022-05-08T07:00:00-04:00,https://seekingalpha.com/article/4508597-gladstone-commercial-good-things-come-to-those-who-wait
6,Weekly S&P 500 ChartStorm - 8 May 2022,-1,2022-05-08T02:30:14-04:00,https://seekingalpha.com/article/4508611-weekly-s-and-p-500-chartstorm-8-may-2022
7,And That's A Wrap For Now (Technically Speaking For The Week Of 5/2-5/6),1,2022-05-08T01:10:24-04:00,https://seekingalpha.com/article/4508599-and-wrap-for-now-technically-speaking-for-week-of-5-2minus-5-6
8,Week Ahead - Volatile Markets,-1,2022-05-06T23:50:00-04:00,https://seekingalpha.com/article/4508318-week-ahead-volatile-markets
9,STEPN: A Potential Play-To-Earn Winner,-1,2022-05-06T18:23:29-04:00,https://seekingalpha.com/article/4508258-stepn-potential-play-to-earn-winner
10,"PS Business Parks, Inc. 2022 Q1 - Results - Earnings Call Presentation",0,2022-05-06T17:41:29-04:00,https://seekingalpha.com/article/4508276-ps-business-parks-inc-2022-q1-results-earnings-call-presentation
11,Evaluating Popular Asset Classes For Inflation Protection,1,2022-05-06T17:18:58-04:00,https://seekingalpha.com/article/4508186-evaluating-popular-asset-classes-for-inflation-protection
12,"Apple Hospitality REIT, Inc. 2022 Q1 - Results - Earnings Call Presentation",0,2022-05-06T17:13:07-04:00,https://seekingalpha.com/article/4508247-apple-hospitality-reit-inc-2022-q1-results-earnings-call-presentation
13,"CareTrust REIT, Inc. 2022 Q1 - Results - Earnings Call Presentation",0,2022-05-06T17:13:02-04:00,https://seekingalpha.com/article/4508246-caretrust-reit-inc-2022-q1-results-earnings-call-presentation
14,Redfin Corporation 2022 Q1 - Results - Earnings Call Presentation,0,2022-05-06T17:08:40-04:00,https://seekingalpha.com/article/4508234-redfin-corporation-2022-q1-results-earnings-call-presentation
15,Altus Group Limited 2022 Q1 - Results - Earnings Call Presentation,0,2022-05-06T16:47:45-04:00,https://seekingalpha.com/article/4508213-altus-group-limited-2022-q1-results-earnings-call-presentation
16,Outfront Media Inc. 2022 Q1 - Results - Earnings Call Presentation,0,2022-05-06T16:01:21-04:00,https://seekingalpha.com/article/4508163-outfront-media-inc-2022-q1-results-earnings-call-presentation
17,Community Healthcare: Diversified Portfolio Generating Poor Price Growth,-1,2022-05-06T15:58:43-04:00,https://seekingalpha.com/article/4508127-chct-diversified-portfolio-of-properties-generating-poor-price-growth
18,Big U.S. Stocks' Q1 2022 Fundamentals,-1,2022-05-06T15:50:29-04:00,https://seekingalpha.com/article/4508113-big-us-stocks-q122-fundamentals
