,HeadLine,Sentiment,Date,URL
0,U.S. housing affordability nears record low as mortgage rates keep climbing: Black knight,-1,2022-05-02T00:01:00-04:00,https://seekingalpha.com/news/3829693-us-housing-affordability-nears-record-low-as-mortgage-rates-keep-climbing-black-knight
1,Chart talk: How the retail investing tilt to small-cap stocks could pay off,1,2022-04-29T12:40:23-04:00,https://seekingalpha.com/news/3829551-how-the-retail-investing-tilt-to-small-cap-stocks-could-pay-off
2,"Consumer sentiment slips in April, with expectations dimming",-1,2022-04-29T10:02:10-04:00,https://seekingalpha.com/news/3829442-consumer-sentiment-slips-in-april-with-expectations-dimming
3,April Chicago PMI comes lower than consensus and lower M/M,1,2022-04-29T09:48:57-04:00,https://seekingalpha.com/news/3829432-april-chicago-pmi-comes-lower-than-consensus-and-lower-mm
4,"Personal income, spending climb more than expected in March",-1,2022-04-29T08:31:59-04:00,https://seekingalpha.com/news/3829356-personal-income-spending-climb-more-than-expected-in-march
5,"Employment Cost Index gains 1.4% in Q1, exceeding consensus",-1,2022-04-29T08:30:37-04:00,https://seekingalpha.com/news/3829353-employment-cost-index-gains-14-in-q1-exceeding-consensus
6,Kansas City Fed composite index +25 in April,1,2022-04-28T11:04:53-04:00,https://seekingalpha.com/news/3828687-kansas-city-fed-composite-index-25-in-april
7,US natural gas inventory builds slightly above estimates,0,2022-04-28T10:30:24-04:00,https://seekingalpha.com/news/3828673-us-natural-gas-inventory
8,Mortgage rates sustain their 5% levels thus impacting purchase demand,-1,2022-04-28T10:24:50-04:00,https://seekingalpha.com/news/3828669-mortgage-rates-sustain-their-5-levels-thus-impacting-purchase-demand
9,GDP unexpectedly falls in Q1 as inflation continues to rise,-1,2022-04-28T08:32:01-04:00,https://seekingalpha.com/news/3828562-gdp-unexpectedly-falls-in-q1-inflation-continues-to-rise
