,HeadLine,Sentiment,Date,URL
0,U.S. government surplus hits record $308B in April,1,2022-05-11T15:04:11-04:00,https://seekingalpha.com/news/3837104-us-government-surplus-hits-record-308b-in-april
1,"Lorie Logan, head of Fed's balance sheet, names Dallas Fed president",0,2022-05-11T13:38:21-04:00,https://seekingalpha.com/news/3837049-lorie-logan-head-of-feds-balance-sheet-names-dallas-fed-president
2,EIA inventory report - Crude inventory builds unexpectedly,0,2022-05-11T10:30:59-04:00,https://seekingalpha.com/news/3836858-eia-inventory-report
3,Atlanta Fed's Business Inflation Expectations +3.7% in May,-1,2022-05-11T10:05:15-04:00,https://seekingalpha.com/news/3836849-atlanta-feds-business-inflation-expectations-37-in-may
4,"Adobe: Groceries, apparel lead rise in online prices in April",-1,2022-05-11T10:02:40-04:00,https://seekingalpha.com/news/3836844-adobe-groceries-apparel-lead-rise-in-online-prices-in-april
5,"April CPI climbs 8.3% Y/Y, more than consensus, but eases from March's rate",-1,2022-05-11T08:31:20-04:00,https://seekingalpha.com/news/3836758-consumer-inflation-accelerates-more-than-expected-in-april
6,"MBA Mortgage Applications widen from prior week levels, second consecutive week growth",1,2022-05-11T07:02:34-04:00,https://seekingalpha.com/news/3836662-mba-mortgage-applications-widen-from-prior-week-levels
7,CPI today holds the key to a shift in stock sentiment - Nomura,-1,2022-05-11T07:02:03-04:00,https://seekingalpha.com/news/3836652-cpi-today-holds-the-key-to-a-shift-in-stock-sentiment
8,"Fed may consider selling some assets to shrink balance sheet, Mester says",-1,2022-05-10T15:29:30-04:00,https://seekingalpha.com/news/3836195-fed-may-consider-selling-some-assets-to-shrink-balance-sheet-mester-says
9,"Fed isn't counting on supply chain resolution to tame inflation, Chris Waller says",0,2022-05-10T13:41:42-04:00,https://seekingalpha.com/news/3836140-fed-isnt-counting-on-supply-chain-resolution-taming-inflation-chris-waller-says
10,"Household debt rises 1.7% in Q1, with mortgage, auto loan balances higher: NY Fed",-1,2022-05-10T11:22:16-04:00,https://seekingalpha.com/news/3836011-household-debt-rises-17-in-q1-with-mortgage-auto-loan-balances-higher-ny-fed
11,Fed's Barkin says central bank's hiking path won't 'necessarily cause a recession',0,2022-05-10T09:58:11-04:00,https://seekingalpha.com/news/3835960-feds-barkin-says-central-banks-hiking-path-wont-necessarily-cause-a-recession
12,"Federal Reserve tools can handle current imbalances, NY Fed's Williams says",1,2022-05-10T08:39:37-04:00,https://seekingalpha.com/news/3835886-federal-reserve-tools-can-handle-current-imbalances-ny-feds-williams-says
13,Stocks oversold enough to suggest a summer rally - Canaccord's Dwyer,-1,2022-05-10T07:48:12-04:00,https://seekingalpha.com/news/3835815-stocks-oversold-enough-to-suggest-a-summer-rally
14,"J.P. Morgan's Kolanovic sticks to his guns, still overweight stocks",-1,2022-05-10T06:50:50-04:00,https://seekingalpha.com/news/3835711-jp-morgans-kolanovic-still-overweight-stocks
15,NFIB small business optimism beats estimate,-1,2022-05-10T06:27:17-04:00,https://seekingalpha.com/news/3835697-nfib-small-business-optimism-beats-estimate
16,Fed flags 'risk of sudden significant deterioration' in new report,-1,2022-05-10T05:16:53-04:00,https://seekingalpha.com/news/3835668-fed-flags-risk-of-sudden-significant-deterioration-in-new-report
17,"Inflation expectations ease for one-year horizon, rise for three-year outlook: NY Fed",-1,2022-05-09T11:00:55-04:00,https://seekingalpha.com/news/3835008-inflation-expectations-ease-for-one-year-horizon-rise-for-three-year-outlook-ny-fed
18,Bitcoin Strategy ETFs fall to an all-time record low as crypto plunges,-1,2022-05-09T09:25:15-04:00,https://seekingalpha.com/news/3834967-bitcoin-strategy-etfs-fall-to-an-all-time-record-low-as-crypto-plunges
19,Atlanta Fed's Bostic sees no need to make 75 basis point hike,1,2022-05-09T08:48:20-04:00,https://seekingalpha.com/news/3834943-atlanta-feds-bostic-sees-no-need-to-make-75-basis-point-hike
20,Dollar hits highest level since 2002; here are five big impacts,1,2022-05-09T07:49:10-04:00,https://seekingalpha.com/news/3834829-dollar-hits-highest-level-since-2002-here-are-five-big-impacts
21,Rate lock volumes plunged in April as mortgage rates keep climbing,-1,2022-05-09T00:01:00-04:00,https://seekingalpha.com/news/3834674-rate-lock-volumes-plunged-in-april-as-mortgage-rates-keep-climbing
22,Apartment REITs saw a drop last month amid April national multifamily rent growth trends showing slowdown,-1,2022-05-07T11:07:00-04:00,https://seekingalpha.com/news/3834535-apartment-reits-saw-a-drop-last-month-amid-april-national-multifamily-rent-growth-trends-showing-slowdown
23,Appaloosa's David Tepper: `Central banks have a little bit of a credibility problem',-1,2022-05-06T16:22:45-04:00,https://seekingalpha.com/news/3834643-appaloosas-david-tepper-central-bans-have-a-little-bit-of-credibility-problem
24,Consumer credit expands well above expectations in March,1,2022-05-06T15:02:50-04:00,https://seekingalpha.com/news/3834551-consumer-credit-expands-well-above-expectations-in-march
